key,value
# ===== Basic Settings =====
lang_code,en
og_locale,en_US

# ===== Site Common =====
site_name,Liberty and Innovation
site_title,Liberty and Innovation Party
meta_description,Official website of Liberty and Innovation Party. A conservative party dedicated to defending democracy and ensuring election integrity in Korea.
meta_keywords,Liberty and Innovation Party, Korean conservative party, Hwang Kyo-ahn, democracy, freedom, election integrity, Korea politics

# ===== Chairman Greeting Section =====
greeting_label,Message from the Chairman
greeting_title,Defending Liberal Democracy<br>and Innovative Vision
greeting_quote,Liberty and Innovation Party is dedicated to defending Korea's liberal democratic system and leading an innovative future based on market economy and rule of law.
greeting_para1,Our party inherits the spirit of 'Liberty' from President Syngman Rhee, who adopted liberal democracy at Korea's founding, and the spirit of 'Innovation' from President Park Chung-hee, who laid the foundation for industrialization.
greeting_para2,We will firmly address election fraud and anti-state activities, establish rule of law, lead the 4th Industrial Revolution, and guarantee unlimited opportunities for youth. As a unified party for all generations, we will rebuild a free Korea and make it a first-class nation.
chairman_title,Party Chairman
chairman_subtitle,44th Prime Minister of the Republic of Korea
chairman_signature_alt,Chairman Hwang Kyo-ahn Signature
chairman_photo_alt,Chairman Hwang Kyo-ahn

# ===== Policy Section =====
policy_section_label,7 Key Policies
policy_section_title1,For a New Korea:
policy_section_title2,7 Key Policies
btn_view_policies,View All Policies

policy1_title,A Party Pursuing Justice, Fairness, and Hope
policy1_desc,Firmly cutting off privileges, unfairness, irregularities and corruption to realize a society where all are equal before the law

policy2_title,Eradicating Election Fraud
policy2_desc,Abolishing early voting, establishing same-day voting and counting to ensure election transparency

policy3_title,Strengthening National Security
policy3_desc,Cracking down on anti-state forces, restoring NIS investigation powers, establishing Drug Enforcement Agency

policy4_title,Leading the 4th Industrial Revolution
policy4_desc,Building a technology powerhouse in AI, robotics, and quantum computing with cutting-edge clusters

policy5_title,Building Ladder of Hope for Youth
policy5_desc,Youth fast-track programs, ending reverse discrimination, restoring bar exam for fair opportunities

policy6_title,Foundation for Free Unification
policy6_desc,Preparing for unified Korea's prosperity with 100,000 unification workers and North Korean education programs

policy7_title,Cultural Prosperity for a Happy Korea
policy7_desc,Realizing a cultured nation, strategic K-content export industry for global cultural leadership

# ===== News Section =====
news_section_label,Latest News
news_section_title,Our Activities
news_loading,Loading news...
news_empty_title,No news available yet
news_empty_desc,New updates coming soon
btn_view_all_news,View All News

# ===== Common Buttons/UI =====
btn_join,Join Us
btn_about,About Us
btn_more,More
btn_view_all,View All
btn_learn_more,Learn More
loading,Loading...

# ===== about.html Page =====
about_page_title,About Chairman Hwang Kyo-ahn | Liberty and Innovation Party
about_meta_description,Introduction to Chairman Hwang Kyo-ahn and Liberty and Innovation Party. Learn about our founding background, identity, and vision for Korea's future.
about_meta_keywords,Hwang Kyo-ahn, Liberty and Innovation, Korean conservative party, party introduction, liberal democracy, founding story
about_hero_title,Introducing Liberty and Innovation
about_hero_subtitle,New Politics through Liberal Democracy and Innovation

# Identity Section
identity_title,Our Party Identity
identity_subtitle,We present the core values we pursue and the direction for their realization.
identity_antistate_title,Eliminating Anti-State Forces
identity_antistate_desc,We firmly crack down on anti-state forces threatening liberal democracy and strengthen national security.
identity_democracy_title,Liberal Democracy
identity_democracy_desc,We defend and advance the liberal democratic system that is Korea's founding principle.
identity_election_title,Eradicating Election Fraud
identity_election_desc,We build transparent and fair election systems to protect democracy.
identity_justice_title,Realizing a Just Society
identity_justice_desc,We create a society where fairness and justice thrive.
identity_youth_title,Together with Youth
identity_youth_desc,We provide unlimited opportunities for young people and pioneer the future together.
identity_innovation_title,Innovation and Advancement
identity_innovation_desc,We lead the 4th Industrial Revolution and create an innovative future.

# Founding Background Section
founding_title,Founding Background
founding_intro,Korea currently faces a crisis due to incomplete government oversight, anti-state forces, and election manipulation allegations.
founding_reason1,Repeated manipulation allegations since the April 15, 2020 general election
founding_reason2,Election manipulation attempts by anti-state forces colluding with leftist groups
founding_reason3,Serious crisis of the liberal democratic system
founding_conclusion,Outraged patriotic forces founded Liberty and Innovation to fight against this great evil and protect our system.
founding_goals_title,Founding Goals
founding_short_term,Short-term
founding_short_term_desc,Root out election fraud cartels and establish fair election systems
founding_mid_term,Mid-term
founding_mid_term_desc,Eliminate anti-state forces and strengthen government oversight systems
founding_long_term,Long-term
founding_long_term_desc,Realize free unification of Korea and build a global powerhouse

# Future Vision Section
vision_title,Future Vision
vision_subtitle,We aim to become a first-class political nation leading the era of the 4th Industrial Revolution.
vision1_title,Free Unification of Korea
vision1_desc,Liberating North Korean people to achieve peace across the Eurasian continent as a unified nation
vision2_title,Leading the 4th Industrial Revolution
vision2_desc,Discovering and implementing innovative policies to lead cutting-edge industries like AI, semiconductors, and robotics
vision3_title,Empowering Young Talent
vision3_desc,Boldly employing talented individuals regardless of region or field to contribute to national development
vision4_title,Cultural Prosperity
vision4_desc,Realizing a cultured nation, fostering K-content to become a global cultural powerhouse
vision5_title,Achieving G2 Global Power
vision5_desc,Becoming a first-class nation through free unification and achieving G2 global power status

# CTA Section
cta_title,Join Us in Defending Liberal Democracy
cta_description,We will work together with all who support Liberty and Innovation against anti-state forces to protect our liberal democratic system.

# ===== organization.html =====
org_page_title,Organization Chart - Liberty and Innovation
org_header_title,Organization Chart
org_empty_message,No organizations registered yet.
org_cta_title,We're Looking for Talented People
org_cta_desc,We are waiting for talented and passionate people to build Korea's future together with Liberty and Innovation.
committees_page_title,Specialized Committees - Liberty and Innovation
chapters_page_title,Regional Chapters - Liberty and Innovation

# ===== Additional Page Titles =====
support_receipt_title,Donation Receipt | Liberty and Innovation
members_faq_title,Membership FAQ - Liberty and Innovation
members_join_title,Join Us - Liberty and Innovation
board_title,Agora | Liberty and Innovation
login_title,Login | Liberty and Innovation
support_guide_title,Donation Guide | Liberty and Innovation
support_title,Support Us | Liberty and Innovation
founding_title,Founding Story - Liberty and Innovation
location_title,Location - Liberty and Innovation
logo_title,Logo - Liberty and Innovation
people_regional_title,Regional Staff - Liberty and Innovation
policy_title,Party Platform - Liberty and Innovation
principles_title,Party Constitution - Liberty and Innovation
news_title,News - Liberty and Innovation
btn_join,Join
btn_donate,Donate
btn_login,Login

# ===== news pages =====
notices_title,Notices - Liberty and Innovation
press_releases_title,Press Releases - Liberty and Innovation
press_policy_title,Policy Committee - Liberty and Innovation
press_media_title,New Media Committee - Liberty and Innovation
media_title,Media Coverage - Liberty and Innovation
events_title,Events - Liberty and Innovation
cardnews_title,Card News - Liberty and Innovation
gallery_title,Photo Gallery - Liberty and Innovation
personnel_title,Personnel Announcements - Liberty and Innovation
congratulations_title,Celebrations - Liberty and Innovation
resources_title,Resources - Liberty and Innovation
people_central_title,Central Party Staff - Liberty and Innovation

# ===== Legal/Other Pages =====
privacy_policy_title,Privacy Policy - Liberty and Innovation
terms_title,Terms of Service - Liberty and Innovation
disclosure_title,Information Disclosure - Liberty and Innovation
members_title,Members - Liberty and Innovation

# ===== Member Pages =====
mypage_title,My Page - Liberty and Innovation
profile_title,Profile - Liberty and Innovation
join_title,Sign Up - Liberty and Innovation
dashboard_title,Dashboard - Liberty and Innovation

# ===== Additional Pages =====
page_not_found_title,Page Not Found - Liberty and Innovation
schedule_title,Schedule - Liberty and Innovation
disclosure_title2,Information Disclosure - Liberty and Innovation
downloads_title,Downloads - Liberty and Innovation
election_materials_title,Election Materials - Liberty and Innovation
party_constitution_title,Party Constitution - Liberty and Innovation
policy_materials_title,Policy Materials - Liberty and Innovation

# ===== Board/Detail Pages =====
board_view_title,Post | Liberty and Innovation
board_write_title,Write | Liberty and Innovation
privacy_title,Privacy Policy - Liberty and Innovation
terms_short_title,Terms of Service - Liberty and Innovation
activities_title,Activities - Liberty and Innovation
activity_detail_title,Activity - Liberty and Innovation
cardnews_detail_title,Card News - Liberty and Innovation
event_detail_title,Event - Liberty and Innovation
gallery_detail_title,Photo Gallery - Liberty and Innovation
media_detail_title,Media - Liberty and Innovation
notice_detail_title,Notice - Liberty and Innovation
policy_detail_title,Policy - Liberty and Innovation
press_detail_title,Press Release - Liberty and Innovation
election_detail_title,Election Materials - Liberty and Innovation
constitution_detail_title,Party Constitution - Liberty and Innovation
policy_mat_detail_title,Policy Materials - Liberty and Innovation
